calibration_runs,subset,training_run_names,maximum_samples_per_training_run,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_10,direct_network,0.17576888636928883,0.05938573172960945,0.07404211539765648,13.13720474833047,0.8693358927951188,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,corridor held-out,bi_corr_400_b_10,gel_ped,0.1760341044379999,0.059551161345467056,0.07079836680407459,13.274371758231242,0.8689412765693212,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_a_04,direct_network,0.1969931080335245,0.06634772453902824,0.08794725772836565,17.189021665461084,0.785697323070504,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_a_04,gel_ped,0.19523300683882303,0.06593786678272816,0.08328789576218437,16.83471181564581,0.7895097337311638,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_a_05,direct_network,0.19369787604560823,0.0655949372325804,0.08141204653386935,17.816979152815946,0.763029704990231,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_a_05,gel_ped,0.1951911920907881,0.06604852647022519,0.07807565276582493,17.648546514614402,0.7593617697559574,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_b_08,direct_network,0.2374481076062553,0.07999668312028962,0.09962296885750291,22.437472343662968,0.6156483703728663,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,altered geometry,bi_corr_400_b_08,gel_ped,0.23054529152655018,0.07840708499476003,0.09568715324162239,22.12873246099589,0.6376703994124936,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_1,direct_network,0.36829264803883915,0.12683111006807055,0.2131485053899465,8.291936089571202,0.8918091721199376,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_1,gel_ped,0.34511864299521505,0.11922634874676621,0.18550146254074695,8.425835054981135,0.9049961543476773,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_2,direct_network,0.38134733465687287,0.13115705214729406,0.2316528240106838,6.3542994945723885,0.9096894697911118,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_2,gel_ped,0.3558452133320661,0.12192494659915763,0.19878819773989279,6.4376336953082,0.921364397640899,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_3,direct_network,0.36114357502850647,0.12395758685352865,0.2047102507502733,5.63760021135546,0.9181268206412362,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_3,gel_ped,0.3411653972382058,0.11731120938434102,0.18129562935880222,5.682067059264248,0.9269345905387816,6000.0
3,1,bi_corr_400_a_01;bi_corr_400_a_02;bi_corr_400_b_01,750,crossing external,crossing_90_d_5,direct_network,0.36441378614881687,0.1252414455193003,0.19622608687853857,8.720245774832993,0.8740037653067381,6000.0
