dataset,run,model,parameters,speed_cap_mps,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples,predicted_contact_rate,false_contact_rate,compared_pairs
crossing external,crossing_90_d_7,isotropic_unconstrained,4,100.0,0.3897179099911887,0.13538815271331228,0.151554011622328,18.05279071272779,0.7855996046654782,6000.0,0.02205547976352888,0.015575261482492041,17592.0
crossing external,crossing_90_d_7,shared_goal_frame,6,100.0,0.38721945326952206,0.13484705402380848,0.1692651223161091,17.809880161683715,0.7883398073693934,6000.0,0.020463847203274217,0.01409731696225557,17592.0
crossing external,crossing_90_d_7,decoupled_scalar_geometry,8,100.0,0.3853572167779019,0.13323700896465746,0.14826916676754232,17.605193262295924,0.7903707669213522,6000.0,0.02131650750341064,0.015063665302410186,17592.0
crossing external,crossing_90_d_7,tensor_persistence_only,2,100.0,0.3813531403821626,0.12834886288424555,0.17485312842904244,15.972824242526807,0.7947044638594551,6000.0,0.01983856298317417,0.01318781264211005,17592.0
crossing external,crossing_90_d_7,tensor_no_isotropic,8,100.0,0.3784630301123351,0.12704345415878315,0.17574289723467112,15.594441750622817,0.7978043646683705,6000.0,0.019781718963165076,0.013017280582082765,17592.0
crossing external,crossing_90_d_7,tensor_no_forward,8,100.0,0.37956664256778644,0.1272312118389821,0.17306131711232298,15.523957595067321,0.796623425161314,6000.0,0.019668030923146885,0.013017280582082765,17592.0
crossing external,crossing_90_d_7,tensor_no_closing,8,100.0,0.3781710906427049,0.12755321036006595,0.17608104759971757,16.020085916937276,0.798116184396814,6000.0,0.018985902683037743,0.012562528422010005,17592.0
crossing external,crossing_90_d_7,tensor_no_wall,9,100.0,0.3798906983442774,0.12738079830470803,0.1768997126600697,15.561763581280559,0.7962760106106207,6000.0,0.01983856298317417,0.01318781264211005,17592.0
crossing external,crossing_90_d_7,tensor_response,10,100.0,0.3795857919264343,0.12738970401401756,0.17674491780979415,15.571047792972056,0.7966029037098689,6000.0,0.01972487494315598,0.013130968622100956,17592.0
crossing external,crossing_90_d_7,tensor_without_cap,10,100.0,0.3795857919264343,0.12738970401401756,0.17674491780979415,15.571047792972056,0.7966029037098689,6000.0,0.01972487494315598,0.013130968622100956,17592.0
crossing external,crossing_90_d_7,unrestricted_ten_scalar,22,100.0,0.38294107374717873,0.12756500707403448,0.1765322655153725,15.567969303285428,0.7929912258613077,6000.0,0.01972487494315598,0.013130968622100956,17592.0
crossing external,crossing_90_d_7,invariant_ridge,26,100.0,0.383464899883512,0.12788221921296067,0.17934891674115103,15.548745648290708,0.7924245027848471,6000.0,0.020009095043201454,0.013415188722146431,17592.0
crossing external,crossing_90_d_7,interaction_mlp,18434,100.0,0.35142720192926175,0.11939969616699656,0.1776070278964918,13.838571239288196,0.8256605781174711,6000.0,0.018474306502955888,0.011255115961800819,17592.0
crossing external,crossing_90_d_7,goal_stable_neural,18434,100.0,0.3511128170363977,0.1191236240028336,0.17886359098177987,13.724128968540185,0.8259723648200737,6000.0,0.018531150522964984,0.011311959981809913,17592.0
crossing external,crossing_90_d_7,tensor_residual,18700,100.0,0.34112206263952916,0.1152052263622271,0.16059963542177863,13.648123763208158,0.8357352147444589,6000.0,0.01858799454297408,0.011653024101864484,17592.0
crossing external,crossing_90_d_7,tensor_residual_ungated,18700,100.0,0.34112206263952916,0.1152052263622271,0.16059963542177863,13.648123763208158,0.8357352147444589,6000.0,0.01858799454297408,0.011653024101864484,17592.0
crossing external,crossing_90_d_7,gel_ped,37134,100.0,0.34342824413559236,0.11631879089425384,0.1677974195528153,13.572066048552747,0.8335066579586743,6000.0,0.01870168258299227,0.011596180081855388,17592.0
crossing external,crossing_90_d_8,constant_velocity,0,100.0,0.4170404856445794,0.14359793178630836,0.1581771001726247,21.978934844227112,0.7388503966194642,6000.0,0.024536235468711354,0.016324511501360377,20215.0
crossing external,crossing_90_d_8,social_force,4,100.0,0.3995105028872578,0.13796407288515322,0.15746190507854632,20.758059829138602,0.7603434309858006,6000.0,0.023299530051941627,0.015087806084590651,20215.0
crossing external,crossing_90_d_8,isotropic_constrained,4,100.0,0.39951050303196445,0.13796407294276256,0.15746190520476158,20.75805976110041,0.7603434308121887,6000.0,0.023299530051941627,0.015087806084590651,20215.0
crossing external,crossing_90_d_8,isotropic_unconstrained,4,100.0,0.39951050303196445,0.13796407294276256,0.15746190520476158,20.75805976110041,0.7603434308121887,6000.0,0.023299530051941627,0.015087806084590651,20215.0
crossing external,crossing_90_d_8,shared_goal_frame,6,100.0,0.3948727989896113,0.1369343613243704,0.1748691935971258,20.664636679666422,0.7658752257482215,6000.0,0.022903784318575315,0.014345782834528815,20215.0
crossing external,crossing_90_d_8,decoupled_scalar_geometry,8,100.0,0.3955831444941301,0.1363135716887681,0.15570018015358186,20.8832691602241,0.765032123512598,6000.0,0.023299530051941627,0.015087806084590651,20215.0
crossing external,crossing_90_d_8,tensor_persistence_only,2,100.0,0.37518329697791347,0.1269277592138325,0.17443860188845503,18.65960173089458,0.7886413986864618,6000.0,0.022211229285184268,0.013306950284442245,20215.0
